line,label
no shutdown,unclear
ip address 192.168.10.1 255.255.255.0,unclear
exit,unclear
set system host-name branch-fw-03,unclear
set system ntp server 192.168.1.1,unclear
set system authentication-order [ radius password ],unclear
set security screen ids-option untrust-screen icmp ping-death,unclear
set security flow tcp-mss all-tcp mss 1400,unclear
set chassis cluster reth-count 2,unclear
set groups node0 system host-name branch-fw-03-node0,unclear
set system name-server 8.8.8.8,unclear
set system services web-management http,unclear
set system services web-management https system-generated-certificate,unclear
set system services dhcp router 192.168.200.2,unclear
set system services dhcp pool 192.168.201.0/24 address-range low 192.168.201.33,unclear
set system services dhcp propagate-settings ge-0/0/0.0,unclear
set system syslog archive size 100k,unclear
set system syslog archive files 3,unclear
set system max-configurations-on-flash 5,unclear
set system max-configuration-rollbacks 5,unclear
set interfaces ge-0/0/0 description OUTSIDE,unclear
set interfaces ge-0/0/0 unit 0 family inet dhcp,unclear
set interfaces ge-0/0/1 description INSIDE,unclear
set routing-options static route 0.0.0.0/0 next-hop 44.44.44.44,unclear
set security zones security-zone OUTSIDE interfaces ge-0/0/0.0 host-inbound-traffic system-services dhcp,unclear
set security policies from-zone INSIDE to-zone OUTSIDE policy P-DENY-ALL then deny,unclear
set deviceconfig system type static,unclear
set deviceconfig system hostname PA-VM,unclear
set deviceconfig system ip-address 192.168.1.103,unclear
set deviceconfig system netmask 255.255.255.0,unclear
set deviceconfig system default-gateway 192.168.1.254,unclear
set deviceconfig system dns-setting servers primary 8.8.8.8,unclear
set deviceconfig system service disable-http yes,unclear
banner login #,banner_configured:true
banner exec /,banner_configured:true
banner motd *******************************,banner_configured:true
banner login ^C,banner_configured:true
"set deviceconfig system login-banner ""You have accessed a protected system. Log off immediately if you are not an authorized user.""",banner_configured:true
banner login /,banner_configured:true
banner motd Test banner for $(hostname),banner_configured:true
banner motd,banner_configured:true
banner login ^CC,banner_configured:true
logging buffered debugging,logging_enabled:true
logging buffered 50000,logging_enabled:true
logging buffered 32786,logging_enabled:true
logging buffered 512000,logging_enabled:true
logging buffered 65535 debugging,logging_enabled:true
logging console discriminator EXCESS,logging_enabled:true
logging host INSIDE Machine01,logging_enabled:true
logging buffered 2097152,logging_enabled:true
logging asdm informational,logging_enabled:true
logging buffered 8192 debugging,logging_enabled:true
enable secret 5 $1$Q0Zl$LN7ONybETL5LJZF1,password_encryption:type5
enable secret 5 $1$U44$.4y79sCiRQLOSrt5S.,password_encryption:type5
secret 5 $1$FXeb$aLMudSH4.B8BK1IYlIm.j.,password_encryption:type5
secret 5 $1$umMq$LYS6omVUNNA.Kp3lETBS20,password_encryption:type5
enable secret 5 $1$G1T6q4FE27/vKE46WINpy.,password_encryption:type5
enable secret 5 $1$Pz80u.C2cxVUWWS2J5v0,password_encryption:type5
password 7 062507331D5D1D142504,password_encryption:type7
password 7 05280E1D705F5A043916,password_encryption:type7
enable password 2KFQnbNIdI.2KYOU encrypted,password_encryption:type7
password 7 14341A195D173E26043B,password_encryption:type7
password 7 123A0D05431818090A38,password_encryption:type7
no allow-service sshd,ssh_enabled:false
allow-service sshd,ssh_enabled:true
feature telnet,telnet_enabled:true
ip route 0.0.0.0 0.0.0.0 192.168.10.1,unclear
ntp server 17.151.16.21,unclear
"set rulebase decryption rules ""NO-Decrypt URL Categories"" to any",unclear
ip route 192.0.2.0/24 port-channel80.1 10.10.200.134,unclear
hostname Foo,unclear
router ospf udx,unclear
interface Vlan 1207,unclear
hostname AS65503,unclear
class-map ma-com-any CM-NQ-L2-COS1,unclear
hostname rtr1,unclear
class-map ma-com-any CM-NQ-QG4-OUT,unclear
ip route 0.0.0.0 0.0.0.0 172.16.11.2,unclear
snmp-server community public1 RO,unclear
snmp-server traps config,unclear
set shared log-settings profiles default match-list Auth_Log_Forwarding send-to-panorama no,unclear
spanning-tree port type edge trunk,unclear
vlan 2202,unclear
snmp-server traps pim interface-state-change,unclear
class-map match-any CM-NQ-L2-COS4,unclear
snmp-server traps mpls traffic-eng reroute,unclear
set profiles spyware Alert-Only-AS botnet-domains dns-security-categories pan-dns-sec-ddns log-level default,unclear
snmp-server traps ospfv3 state-comange restart-status-comange,unclear
router bgp 65413,unclear
snmp-server location Colo4 Dallas,unclear
route-map RM_ISP_IN permit 1,unclear
interface Vlan 3375,unclear
set profiles virus Alert-Only-AV decoder pop3 mlav-action alert,unclear
object-group service ANDROID_svc,unclear
interface Vlan100,unclear
interface Vlan 3119,unclear
set profiles spyware Inbound-AS rules Default-Low-Info packet-capture disable,unclear
policy-map PM-NQ-CORE-IN,unclear
logging synchronous,unclear
ip ssh time-out 60,unclear
no ip ssh,ssh_enabled:false
ip ssh disable,ssh_enabled:false
delete system services ssh,ssh_enabled:false
deactivate system services ssh,ssh_enabled:false
set ssh disabled=yes,ssh_enabled:false
delete service ssh,ssh_enabled:false
disable ssh,ssh_enabled:false
no logging on,logging_enabled:false
delete system syslog,logging_enabled:false
ip ssh authentication-retries 3,unclear
password xyz,unclear
password pwdTelnet,unclear
set system authentication-order [ radius password ],unclear
protocol: legacy-telnet,unclear
no service pad,unclear
hash-algo: none,password_encryption:none
audit-log {,unclear
username admin privilege 15 password 0 xyz,password_encryption:none
credential-store {,unclear
mgmt-access {,unclear
enabled: false,unclear
"! Fictional ""NetGuard OS"" config - used to test unknown vendor handling",unclear
login,unclear
protocol: secure-shell,ssh_enabled:true
"device-name = ""core-fw-01""",unclear
line vty 0 15,unclear
set security zones security-zone INSIDE host-inbound-traffic system-services all,unclear
hostname Switch,unclear
set system syslog file interactive-commands interactive-commands error,logging_enabled:true
hostname R1,unclear
set system host-name MY-SRX210,unclear
version 12.2,unclear
set deviceconfig system ntp-servers primary-ntp-server authentication-type none,unclear
set deviceconfig system ntp-servers primary-ntp-server ntp-server-address us.pool.ntp.org,unclear
set system services web-management https interface ge-0/0/0.0,unclear
set interfaces ge-0/0/1 unit 0 family inet address 192.168.100.1/24,unclear
Disable insecure services,unclear
set mgt-config password-complexity enabled yes,unclear
set mgt-config password-complexity new-password-differs-by-characters 3,unclear
snmp-server user snmpadmin SECURE v3 auth sha AUTH_PASSWORD priv aes 256 PRIV_PASSWORD,unclear
set mgt-config password-complexity password-history-count 24,unclear
*  It is for authorized use only.                                      *,unclear
set shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog transport UDP,logging_enabled:true
set mgt-config users adminuser password,unclear
key config-key password-encrypt CHANGE_ME_SECURE_KEY,unclear
set panorama log-settings syslog Sample_Syslog_Profile server Sample_Syslog transport UDP,logging_enabled:true
"set shared email-scheduler ""Possible Compromise"" recurring disabled",unclear
key config-key password-encrypt <CHANGE_ME_SECURE_KEY>,unclear
errdisable recovery cause udld,unclear
set panorama log-settings syslog Sample_Syslog_Profile server Sample_Syslog format BSD,logging_enabled:true
set mgt-config password-complexity minimum-length 12,unclear
set shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog port 514,logging_enabled:true
errdisable recovery cause bpduguard,unclear
Logging & Audit Configuration,logging_enabled:true
logging source-interface VlanX,logging_enabled:true
errdisable recovery interval 300,unclear
set shared profiles decryption Recommended_Decryption_Profile ssh-proxy block-unsupported-version yes,unclear
set shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog format BSD,logging_enabled:true
set template iron-skillet config mgt-config password-complexity new-password-differs-by-characters 3,unclear
set profiles decryption Recommended_Decryption_Profile ssh-proxy block-unsupported-version yes,unclear
"*  civil, or criminal penalties.                                       *",unclear
logging trap warnings,logging_enabled:true
set shared profiles decryption Recommended_Decryption_Profile ssl-protocol-settings auth-algo-sha1 no,unclear
set profiles decryption Recommended_Decryption_Profile ssl-protocol-settings auth-algo-sha1 no,unclear
"set shared profiles virus Exception-AV mlav-engine-filebased-enabled ""Executable Linked Format"" mlav-policy-action enable",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-protocol-settings enc-algo-3des no,unclear
"set shared profiles virus Exception-AV mlav-engine-filebased-enabled ""PowerShell Script 2"" mlav-policy-action enable",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-protocol-settings enc-algo-rc4 no,unclear
set shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog facility LOG_USER,logging_enabled:true
Enable password encryption,password_encryption:none
"set shared profiles virus Exception-AV mlav-engine-filebased-enabled ""PowerShell Script 1"" mlav-policy-action enable",unclear
"set shared reports ""Hosts visit questionable sites"" topn 500",unclear
*  NOTICE TO USERS                                                     *,unclear
errdisable recovery cause  link-flap,unclear
errdisable recovery cause link-flap,unclear
set profiles decryption Recommended_Decryption_Profile ssl-protocol-settings enc-algo-3des no,unclear
"set shared profiles virus Internal-AV mlav-engine-filebased-enabled ""Executable Linked Format"" mlav-policy-action enable",unclear
"set profiles virus Exception-AV mlav-engine-filebased-enabled ""PowerShell Script 1"" mlav-policy-action enable",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-unsupported-version yes,unclear
*  Users have no expectation of privacy. All actions may be monitored *,unclear
set mgt-config password-complexity minimum-lowercase-letters 1,unclear
set deviceconfig system config-bundle-export-schedule Recommended_Config_Export protocol scp password -AQ==zPJb3ngM1sGjXlfX2+Qk6rbdv1I=ucInIpBmFcnkQK7zF4VO1w==,unclear
"set shared profiles virus Internal-AV mlav-engine-filebased-enabled ""PowerShell Script 2"" mlav-policy-action enable",unclear
"set profiles virus Internal-AV mlav-engine-filebased-enabled ""Executable Linked Format"" mlav-policy-action enable",unclear
set mgt-config password-complexity minimum-special-characters 1,unclear
"set shared profiles virus Internal-AV mlav-engine-filebased-enabled ""PowerShell Script 1"" mlav-policy-action enable",unclear
set mgt-config password-complexity minimum-uppercase-letters 1,unclear
logging source-interface <IP>,logging_enabled:true
set shared profiles decryption Recommended_Decryption_Profile ssl-protocol-settings keyxchg-algo-rsa no,unclear
no ip gratuitous-arps,unclear
"set profiles virus Internal-AV mlav-engine-filebased-enabled ""PowerShell Script 2"" mlav-policy-action enable",unclear
"set shared reports ""Hosts visit questionable sites"" caption ""Hosts visit questionable sites""",unclear
set profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-unsupported-version yes,unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-timeout-cert yes,unclear
"set profiles virus Internal-AV mlav-engine-filebased-enabled ""PowerShell Script 1"" mlav-policy-action enable",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-unsupported-cipher yes,unclear
"set shared profiles virus Exception-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
set template iron-skillet config shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog port 514,logging_enabled:true
set shared log-settings userid match-list User-ID_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
"set shared profiles virus Outbound-AV mlav-engine-filebased-enabled ""PowerShell Script 2"" mlav-policy-action enable",unclear
"set profiles virus Inbound-AV mlav-engine-filebased-enabled ""Executable Linked Format"" mlav-policy-action enable",unclear
set profiles decryption Recommended_Decryption_Profile ssl-protocol-settings keyxchg-algo-rsa no,unclear
"set profiles virus Outbound-AV mlav-engine-filebased-enabled ""Executable Linked Format"" mlav-policy-action enable",unclear
"set shared profiles virus Outbound-AV mlav-engine-filebased-enabled ""PowerShell Script 1"" mlav-policy-action enable",unclear
"set profiles virus Exception-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
"set profiles virus Inbound-AV mlav-engine-filebased-enabled ""PowerShell Script 2"" mlav-policy-action enable",unclear
set template iron-skillet config mgt-config password-complexity block-username-inclusion yes,unclear
set shared log-settings hipmatch match-list HIP_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
set profiles decryption Recommended_Decryption_Profile ssl-protocol-settings max-version tls1-3,unclear
set profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-unsupported-cipher yes,unclear
set shared log-settings system match-list System_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
"set shared profiles virus Internal-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
Cisco IOS Global Hardening,unclear
set panorama log-settings syslog Sample_Syslog_Profile server Sample_Syslog facility LOG_USER,logging_enabled:true
"set shared email-scheduler ""Possible Compromise"" email-profile Sample_Email_Profile",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-untrusted-issuer yes,unclear
"set shared pre-rulebase decryption rules ""NO-Decrypt URL Categories"" disabled yes",unclear
"set profiles virus Internal-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
"set shared profiles url-filtering Exception-URL mlav-engine-urlbased-enabled ""Phishing Detection"" mlav-policy-action block",unclear
"set device-group sample_devicegroup email-scheduler ""Possible Compromise"" recurring disabled",unclear
deny any log,unclear
"set shared profiles virus Alert-Only-AV mlav-engine-filebased-enabled ""PowerShell Script 2"" mlav-policy-action enable(alert-only)",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-inbound-proxy block-unsupported-version no,unclear
set shared profiles url-filtering Exception-URL alert real-time-detection,unclear
"set shared profiles virus Inbound-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
"set shared profiles virus Outbound-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
set template iron-skillet config deviceconfig setting session packet-buffer-protection-enable yes,unclear
set network profiles zone-protection-profile Recommended_Zone_Protection discard-malformed-option yes,unclear
username localadmin privilege 15 secret <LOCAL_PASSWORD>,password_encryption:type5
set deviceconfig system config-bundle-export-schedule Recommended_Config_Export enable yes,unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-expired-certificate yes,unclear
set panorama log-settings userid match-list User-ID_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
"set profiles virus Alert-Only-AV mlav-engine-filebased-enabled ""PowerShell Script 2"" mlav-policy-action enable(alert-only)",unclear
set shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog server 192.0.2.2,logging_enabled:true
set profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-unknown-cert yes,unclear
set profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-untrusted-issuer yes,unclear
set deviceconfig setting ctd udp-bypass-exceed-queue no,unclear
"set shared tag iron-skillet-version comments ""version 0.0.2 for 10.1: version of this IronSkillet template file""",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-inbound-proxy block-unsupported-cipher no,unclear
"set shared reports ""Host-visit quest sites plus"" description ""Detail of hosts visiting questionable URLs""",unclear
"set profiles virus Inbound-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
"set profiles virus Outbound-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable",unclear
set shared profiles decryption Recommended_Decryption_Profile ssl-no-proxy block-expired-certificate yes,unclear
"set shared report-group ""Possible Compromise"" variable title value ""Possible Compromise""",unclear
"set shared reports ""Hosts visit questionable sites"" type url sortby repeatcnt",unclear
"set shared reports ""Hosts visit questionable sites"" period last-7-calendar-days",unclear
"set shared reports ""Wildfire verdicts SMTP"" topn 500",unclear
set template iron-skillet config mgt-config users adminuser phash $1$GmGy8oJJ$V75cNdSRDx0V78yJqXZ111,password_encryption:type5
set template iron-skillet config shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog facility LOG_USER,logging_enabled:true
set shared log-settings profiles default match-list Data_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
set profiles decryption Recommended_Decryption_Profile ssl-forward-proxy block-expired-certificate yes,unclear
*  and recorded.                                                       *,unclear
"set shared profiles url-filtering Alert-Only-URL mlav-engine-urlbased-enabled ""Phishing Detection"" mlav-policy-action alert",unclear
set profiles url-filtering Exception-URL alert real-time-detection,unclear
set panorama log-settings system match-list System_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
set deviceconfig setting tcp check-timestamp-option yes,unclear
set shared log-settings profiles default match-list Tunnel_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
set deviceconfig setting ctd tcp-bypass-exceed-queue no,unclear
"set shared reports ""Hosts visit questionable sites"" type url values repeatcnt",unclear
*                                                                      *,unclear
spanning-tree bpduguard enable,unclear
"set shared log-settings globalprotect match-list GP_Log_Forwarding filter ""All Logs""",unclear
set template iron-skillet config network profiles zone-protection-profile Recommended_Zone_Protection remove-tcp-timestamp yes,unclear
set profiles decryption Recommended_Decryption_Profile ssl-no-proxy block-expired-certificate yes,unclear
"set shared profiles virus Alert-Only-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable(alert-only)",unclear
set shared log-settings system match-list Email_Critical_System_Logs send-email Sample_Email_Profile,unclear
"set shared report-group ""Possible Compromise"" title-page yes",unclear
"set profiles url-filtering Alert-Only-URL mlav-engine-urlbased-enabled ""Phishing Detection"" mlav-policy-action alert",unclear
"set shared pre-rulebase decryption rules ""NO-Decrypt URL Categories"" service any",unclear
set deviceconfig setting wildfire report-benign-file yes,unclear
set template iron-skillet config shared log-settings correlation match-list Correlation_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
set shared profiles file-blocking Internal-FB rules Alert-All direction both,unclear
"set shared report-group ""Possible Compromise"" custom-widget 6 custom-report ""Hosts visit questionable sites""",unclear
"set shared reports ""Clients sinkholed"" frequency daily",unclear
vrf forwarding vrf-busn,unclear
set deviceconfig system update-schedule global-protect-datafile recurring hourly at 40,unclear
"set profiles virus Alert-Only-AV mlav-engine-filebased-enabled ""Windows Executables"" mlav-policy-action enable(alert-only)",unclear
"set shared log-settings userid match-list User-ID_Log_Forwarding filter ""All Logs""",unclear
set shared profiles url-filtering Alert-Only-URL alert real-time-detection,unclear
set shared log-settings profiles default match-list Traffic_Log_Forwarding send-syslog Sample_Syslog_Profile,logging_enabled:true
write memory,unclear
set deviceconfig setting management enable-log-high-dp-load yes,unclear
set deviceconfig setting session packet-buffer-protection-latency-activate 200,unclear
set deviceconfig system config-bundle-export-schedule Recommended_Config_Export protocol scp username testuser,unclear
"set shared log-settings system match-list Email_Critical_System_Logs description ""Email Critical System Logs""",unclear
set deviceconfig system update-schedule global-protect-datafile recurring hourly action download-and-install,unclear
"set profiles url-filtering Outbound-URL mlav-engine-urlbased-enabled ""Phishing Detection"" mlav-policy-action block",unclear
set profiles url-filtering Exception-URL log-http-hdr-referer yes,unclear
"set shared reports ""Hosts visit questionable sites"" query ""(category eq dynamic-dns) and (category eq parked) and (category eq questionable) and (category eq unknown)""",unclear
set template iron-skillet config mgt-config password-complexity minimum-special-characters 1,unclear
set deviceconfig setting wildfire file-size-limit flash size-limit 5,unclear
"set shared log-settings iptag match-list IP-Tag_Log_Forwarding filter ""All Logs""",unclear
"set shared reports ""Wildfire malicious verdicts"" topn 500",unclear
set shared profiles url-filtering Outbound-URL alert real-time-detection,unclear
set template iron-skillet config mgt-config password-complexity minimum-numeric-letters 1,unclear
"set shared reports ""Host-visit quest sites plus"" topn 500",unclear
"set shared reports ""Wildfire malicious verdicts"" frequency daily",unclear
set panorama log-settings syslog Sample_Syslog_Profile server Sample_Syslog server 192.0.2.2,logging_enabled:true
set shared log-settings email Sample_Email_Profile server Sample_Email_Profile display-name Threat_Alerts,unclear
"set shared reports ""Host-visit quest sites plus"" topm 50",unclear
set template iron-skillet config mgt-config password-complexity minimum-lowercase-letters 1,unclear
set deviceconfig setting session packet-buffer-protection-latency-alert 50,unclear
udld aggressive,unclear
set shared log-settings email Sample_Email_Profile server Sample_Email_Profile from sentfrom@yourdomain.com,unclear
set template iron-skillet config network profiles zone-protection-profile Recommended_Zone_Protection discard-malformed-option yes,unclear
set shared profiles file-blocking Inbound-FB rules Alert-All direction both,unclear
set shared profiles vulnerability Exception-VP,unclear
"set shared pre-rulebase decryption rules ""NO-Decrypt URL Categories"" profile Recommended_Decryption_Profile",unclear
set network profiles zone-protection-profile Recommended_Zone_Protection scan 8001 threshold 100,unclear
set deviceconfig system update-schedule wildfire recurring real-time,unclear
set shared log-settings email Sample_Email_Profile server Sample_Email_Profile to sendto@yourdomain.com,unclear
no ip source-route,unclear
set shared profiles file-blocking Outbound-FB rules Alert-All direction both,unclear
set profiles url-filtering Exception-URL log-http-hdr-xff yes,unclear
set network profiles zone-protection-profile Recommended_Zone_Protection scan 8002 action alert,unclear
set shared profiles file-blocking Internal-FB rules Alert-All file-type any,unclear
set shared profiles file-blocking Internal-FB rules Alert-All action alert,unclear
"set shared log-settings hipmatch match-list HIP_Log_Forwarding filter ""All Logs""",unclear
set log-collector-group Default_Collector_Group log-settings tunnel match-list Syslog_Tunnel_Logs send-syslog Sample_Syslog_Profile,logging_enabled:true
"set shared reports ""Wildfire malicious verdicts"" description ""Files uploaded or downloaded that were later found to be malicious. This is a summary. Act on real-time email.""",unclear
set shared profiles file-blocking Inbound-FB rules Block direction both,unclear
set template iron-skillet config network profiles zone-protection-profile Recommended_Zone_Protection discard-ip-spoof yes,unclear
set shared profiles url-filtering Exception-URL log-http-hdr-user-agent yes,unclear
description Uplink-PortChannel,unclear
set shared profiles wildfire-analysis Internal-WF rules Forward-All direction both,unclear
set profiles vulnerability Internal-VP rules Default-Medium-Low-Info severity [ low informational medium ],unclear
no ip bootp server,unclear
set shared profiles file-blocking Outbound-FB rules Block direction both,unclear
set deviceconfig setting wildfire report-grayware-file yes,unclear
"set shared log-settings system match-list Email_Critical_System_Logs filter ""(severity eq critical)""",unclear
set profiles url-filtering Exception-URL credential-enforcement alert real-time-detection,unclear
set shared profiles spyware Internal-AS rules Default-Medium-Low-Info severity [ low informational medium ],unclear
set profiles file-blocking Internal-FB rules Alert-All direction both,unclear
set shared profiles spyware Alert-Only-AS rules Alert-All packet-capture disable,unclear
set shared profiles file-blocking Internal-FB rules Block action block,unclear
"set shared log-settings system match-list System_Log_Forwarding filter ""All Logs""",unclear
set profiles vulnerability Alert-Only-VP rules Alert-All packet-capture disable,unclear
"set shared pre-rulebase decryption rules ""NO-Decrypt URL Categories"" description ""This rule does not do Decryption.  This rule is validating SSL Protocol Communications.""",unclear
set profiles file-blocking Internal-FB rules Block direction both,unclear
set shared profiles vulnerability Internal-VP rules Default-Medium-Low-Info packet-capture disable,unclear
"set shared reports ""Hosts visit questionable sites"" type url group-by src",unclear
Layer 2 Protection Controls,unclear
set network profiles zone-protection-profile Recommended_Zone_Protection scan 8001 interval 2,unclear
================================,unclear
"set shared reports ""Hosts visit malicious sites"" topn 500",unclear
set network profiles zone-protection-profile Recommended_Zone_Protection scan 8003 interval 2,unclear
set deviceconfig system update-schedule threats recurring threshold 48,unclear
"set device-group sample_devicegroup reports ""Hosts visit questionable sites"" caption ""Hosts visit questionable sites""",unclear
"set shared tag Internal comments ""Internal to Internal""",unclear
description Access-Port-Channel-Members,unclear
"set shared pre-rulebase decryption rules ""NO-Decrypt URL Categories"" action no-decrypt",unclear
set profiles url-filtering Exception-URL block [ Block command-and-control grayware malware phishing ransomware ],unclear
set shared profiles wildfire-analysis Internal-WF rules Forward-All file-type any,unclear
set deviceconfig setting wildfire file-size-limit jar size-limit 5,unclear
set shared profiles url-filtering Outbound-URL log-http-hdr-referer yes,unclear
set shared profiles file-blocking Alert-Only-FB rules Alert-Only file-type any,unclear
set network profiles zone-protection-profile Recommended_Zone_Protection strip-mptcp-option global,unclear
set shared profiles vulnerability Internal-VP rules Block-Critical-High severity [ critical high ],unclear
"set rulebase decryption rules ""NO-Decrypt URL Categories"" profile Recommended_Decryption_Profile",unclear
set shared profiles vulnerability Outbound-VP rules Block-Critical-High-Medium severity [ critical high medium ],unclear
set template iron-skillet config shared log-settings email Sample_Email_Profile server Sample_Email_Profile protocol SMTP,unclear
set shared profiles wildfire-analysis Outbound-WF rules Forward-All direction both,unclear
"set panorama log-settings userid match-list User-ID_Log_Forwarding filter ""All Logs""",unclear
set shared profiles url-filtering Alert-Only-URL credential-enforcement alert real-time-detection,unclear
set template iron-skillet config shared log-settings syslog Sample_Syslog_Profile server Sample_Syslog server 192.0.2.2,logging_enabled:true
set template iron-skillet config deviceconfig setting ctd udp-bypass-exceed-queue no,unclear
set shared profiles file-blocking Outbound-FB rules Alert-All action alert,unclear
set profiles url-filtering Outbound-URL alert real-time-detection,unclear
"set shared reports ""Wildfire verdicts SMTP"" type wildfire sortby repeatcnt",unclear
set shared profiles vulnerability Internal-VP rules Block-Critical-High host any,unclear
set profiles file-blocking Alert-Only-FB rules Alert-Only direction both,unclear
"set shared reports ""Wildfire malicious verdicts"" topm 10",unclear
delete mgt-config users admin,unclear
"set shared reports ""Host-visit malicious sites plus"" frequency daily",unclear
set profiles spyware Internal-AS rules Default-Medium-Low-Info severity [ low informational medium ],unclear
"set shared reports ""Wildfire verdicts SMTP"" query ""(app eq smtp) and (category neq benign)""",unclear
"set shared reports ""Host-visit malicious sites plus"" topn 500",unclear
